channel,time,pm_2_5
wb_47,2019-06-18 01:00:00+03:00,62.02534883720929
wb_47,2019-06-18 02:00:00+03:00,52.816590909090905
wb_47,2019-06-18 03:00:00+03:00,77.42744186046512
wb_47,2019-06-18 04:00:00+03:00,81.28116279069769
wb_47,2019-06-18 05:00:00+03:00,112.75204545454544
wb_47,2019-06-18 06:00:00+03:00,98.85219512195124
wb_47,2019-06-18 07:00:00+03:00,95.7193023255814
wb_47,2019-06-18 08:00:00+03:00,103.9818181818182
wb_47,2019-06-18 09:00:00+03:00,116.74883720930234
wb_47,2019-06-18 10:00:00+03:00,89.78704545454546
wb_47,2019-06-18 11:00:00+03:00,74.06780487804876
wb_47,2019-06-18 12:00:00+03:00,71.40729729729729
wb_47,2019-06-18 13:00:00+03:00,44.18636363636365
wb_47,2019-06-18 14:00:00+03:00,45.909523809523826
wb_47,2019-06-18 15:00:00+03:00,46.383255813953475
wb_47,2019-06-18 16:00:00+03:00,42.27023809523808
wb_47,2019-06-18 17:00:00+03:00,41.67880952380952
wb_47,2019-06-18 18:00:00+03:00,47.348863636363625
wb_47,2019-06-18 19:00:00+03:00,45.35804878048781
wb_47,2019-06-18 20:00:00+03:00,38.21357142857142
wb_47,2019-06-18 21:00:00+03:00,36.243777777777765
wb_47,2019-06-18 22:00:00+03:00,44.903902439024385
wb_47,2019-06-18 23:00:00+03:00,46.804545454545455
wb_47,2019-06-19 00:00:00+03:00,48.03809523809524
wb_47,2019-06-19 01:00:00+03:00,52.3035
wb_47,2019-06-19 02:00:00+03:00,41.93439024390244
wb_47,2019-06-19 03:00:00+03:00,44.9415909090909
wb_47,2019-06-19 04:00:00+03:00,61.00976744186047
wb_47,2019-06-19 05:00:00+03:00,58.24093023255812
wb_47,2019-06-19 06:00:00+03:00,52.92581395348837
wb_47,2019-06-19 07:00:00+03:00,50.41863636363637
wb_47,2019-06-19 08:00:00+03:00,74.68558139534883
wb_47,2019-06-19 09:00:00+03:00,68.59395348837211
wb_47,2019-06-19 10:00:00+03:00,66.90926829268294
wb_47,2019-06-19 11:00:00+03:00,70.79883720930233
wb_47,2019-06-19 12:00:00+03:00,51.72749999999999
wb_47,2019-06-19 13:00:00+03:00,44.72837209302325
wb_47,2019-06-19 14:00:00+03:00,53.35897435897436
wb_47,2019-06-19 15:00:00+03:00,52.25181818181819
wb_47,2019-06-19 16:00:00+03:00,48.092558139534894
wb_47,2019-06-19 17:00:00+03:00,36.94181818181818
wb_47,2019-06-19 18:00:00+03:00,39.1825
wb_47,2019-06-19 19:00:00+03:00,44.07272727272726
wb_47,2019-06-19 20:00:00+03:00,42.466136363636366
wb_47,2019-06-19 21:00:00+03:00,40.8459090909091
wb_47,2019-06-19 22:00:00+03:00,49.68860465116279
wb_47,2019-06-19 23:00:00+03:00,65.41697674418606
wb_47,2019-06-20 00:00:00+03:00,66.97068181818183
wb_47,2019-06-20 01:00:00+03:00,75.31139534883721
wb_47,2019-06-20 02:00:00+03:00,92.33837209302322
wb_47,2019-06-20 03:00:00+03:00,164.02409090909092
wb_47,2019-06-20 04:00:00+03:00,189.05395348837214
wb_47,2019-06-20 05:00:00+03:00,161.8368181818182
wb_47,2019-06-20 06:00:00+03:00,201.26953488372092
wb_47,2019-06-20 07:00:00+03:00,206.32431818181814
wb_47,2019-06-20 08:00:00+03:00,220.9636363636363
wb_47,2019-06-20 09:00:00+03:00,220.14954545454538
wb_47,2019-06-20 10:00:00+03:00,266.70413043478266
wb_47,2019-06-20 11:00:00+03:00,219.80954545454549
wb_47,2019-06-20 12:00:00+03:00,100.15465116279069
wb_47,2019-06-20 13:00:00+03:00,60.88045454545454
wb_47,2019-06-20 14:00:00+03:00,47.29511627906979
wb_47,2019-06-20 15:00:00+03:00,41.86136363636364
wb_47,2019-06-20 16:00:00+03:00,37.50500000000001
wb_47,2019-06-20 17:00:00+03:00,34.76477272727272
wb_47,2019-06-20 18:00:00+03:00,50.701395348837195
wb_47,2019-06-20 19:00:00+03:00,57.53651162790696
wb_47,2019-06-20 20:00:00+03:00,48.8843181818182
wb_47,2019-06-20 21:00:00+03:00,44.203409090909105
wb_47,2019-06-20 22:00:00+03:00,57.604186046511614
wb_47,2019-06-20 23:00:00+03:00,69.09386363636362
wb_47,2019-06-21 00:00:00+03:00,57.51930232558141
wb_47,2019-06-21 01:00:00+03:00,99.16093023255812
wb_47,2019-06-21 02:00:00+03:00,173.6184090909091
wb_47,2019-06-21 03:00:00+03:00,165.19999999999993
wb_47,2019-06-21 04:00:00+03:00,126.28386363636363
wb_47,2019-06-21 05:00:00+03:00,137.60116279069766
wb_47,2019-06-21 06:00:00+03:00,164.2562790697675
wb_47,2019-06-21 07:00:00+03:00,182.00772727272727
wb_47,2019-06-21 08:00:00+03:00,113.76627906976744
wb_47,2019-06-21 09:00:00+03:00,126.05159090909092
wb_47,2019-06-21 10:00:00+03:00,107.19348837209301
wb_47,2019-06-21 11:00:00+03:00,95.11441860465115
wb_47,2019-06-21 12:00:00+03:00,80.35255813953488
wb_47,2019-06-21 13:00:00+03:00,61.59227272727271
wb_47,2019-06-21 14:00:00+03:00,57.64651162790698
wb_47,2019-06-21 15:00:00+03:00,63.18209302325583
wb_47,2019-06-21 16:00:00+03:00,51.902045454545465
wb_47,2019-06-21 17:00:00+03:00,47.92627906976745
wb_47,2019-06-21 18:00:00+03:00,47.45477272727272
wb_47,2019-06-21 19:00:00+03:00,46.857674418604645
wb_47,2019-06-21 20:00:00+03:00,48.778636363636366
wb_47,2019-06-21 21:00:00+03:00,53.61627906976743
wb_47,2019-06-21 22:00:00+03:00,69.19522727272728
wb_47,2019-06-21 23:00:00+03:00,71.42488372093024
wb_47,2019-06-22 00:00:00+03:00,90.10976744186047
wb_47,2019-06-22 01:00:00+03:00,83.10886363636362
wb_47,2019-06-22 02:00:00+03:00,96.77325581395351
wb_47,2019-06-22 03:00:00+03:00,133.44279069767438
wb_47,2019-06-22 04:00:00+03:00,153.43159090909091
wb_47,2019-06-22 05:00:00+03:00,228.68045454545455
wb_47,2019-06-22 06:00:00+03:00,187.36348837209297
wb_47,2019-06-22 07:00:00+03:00,164.93704545454545
wb_47,2019-06-22 08:00:00+03:00,141.02279069767442
wb_47,2019-06-22 09:00:00+03:00,113.18977272727274
wb_47,2019-06-22 10:00:00+03:00,120.33511627906981
wb_47,2019-06-22 11:00:00+03:00,119.63886363636362
wb_47,2019-06-22 12:00:00+03:00,111.79488372093024
wb_47,2019-06-22 13:00:00+03:00,106.73488372093024
wb_47,2019-06-22 14:00:00+03:00,59.805581395348845
wb_47,2019-06-22 15:00:00+03:00,54.87954545454546
wb_47,2019-06-22 16:00:00+03:00,74.57186046511627
wb_47,2019-06-22 17:00:00+03:00,106.89372093023255
wb_47,2019-06-22 18:00:00+03:00,86.99999999999999
wb_47,2019-06-22 19:00:00+03:00,78.04697674418607
wb_47,2019-06-22 20:00:00+03:00,99.33022727272727
wb_47,2019-06-22 21:00:00+03:00,118.78395348837208
wb_47,2019-06-22 22:00:00+03:00,92.99023255813954
wb_47,2019-06-22 23:00:00+03:00,95.6606976744186
wb_47,2019-06-23 00:00:00+03:00,92.23181818181818
wb_47,2019-06-23 01:00:00+03:00,80.64372093023256
wb_47,2019-06-23 02:00:00+03:00,73.01534883720932
wb_47,2019-06-23 03:00:00+03:00,81.46883720930232
wb_47,2019-06-23 04:00:00+03:00,95.66813953488374
wb_47,2019-06-23 05:00:00+03:00,75.45454545454544
wb_47,2019-06-23 06:00:00+03:00,77.44232558139537
wb_47,2019-06-23 07:00:00+03:00,80.83860465116278
wb_47,2019-06-23 08:00:00+03:00,70.72116279069768
wb_47,2019-06-23 09:00:00+03:00,73.6611627906977
wb_47,2019-06-23 10:00:00+03:00,68.2613953488372
wb_47,2019-06-23 11:00:00+03:00,65.27204545454546
wb_47,2019-06-23 12:00:00+03:00,50.56046511627905
wb_47,2019-06-23 13:00:00+03:00,46.35348837209302
wb_47,2019-06-23 14:00:00+03:00,50.17750000000001
wb_47,2019-06-23 15:00:00+03:00,46.53999999999999
wb_47,2019-06-23 16:00:00+03:00,44.686818181818175
wb_47,2019-06-23 17:00:00+03:00,44.45348837209303
wb_47,2019-06-23 18:00:00+03:00,47.05068181818182
wb_47,2019-06-23 19:00:00+03:00,48.973023255813956
wb_47,2019-06-23 20:00:00+03:00,50.45704545454544
wb_47,2019-06-23 21:00:00+03:00,46.730232558139534
wb_47,2019-06-23 22:00:00+03:00,53.015813953488355
wb_47,2019-06-23 23:00:00+03:00,75.20113636363637
wb_47,2019-06-24 00:00:00+03:00,90.41953488372094
wb_47,2019-06-24 01:00:00+03:00,116.68000000000004
wb_47,2019-06-24 02:00:00+03:00,119.8181818181818
wb_47,2019-06-24 03:00:00+03:00,156.10954545454544
wb_47,2019-06-24 04:00:00+03:00,169.71744186046516
wb_47,2019-06-24 05:00:00+03:00,128.95000000000002
wb_47,2019-06-24 06:00:00+03:00,72.78162790697674
wb_47,2019-06-24 07:00:00+03:00,65.81976744186048
wb_47,2019-06-24 08:00:00+03:00,62.78184210526314
wb_47,2019-06-24 09:00:00+03:00,64.42720930232558
wb_47,2019-06-24 10:00:00+03:00,73.24585365853659
wb_47,2019-06-24 11:00:00+03:00,64.75372093023256
wb_47,2019-06-24 12:00:00+03:00,61.612750000000005
wb_47,2019-06-24 13:00:00+03:00,71.68804878048782
wb_47,2019-06-24 14:00:00+03:00,55.66048780487806
wb_47,2019-06-24 15:00:00+03:00,52.19384615384615
wb_47,2019-06-24 16:00:00+03:00,50.143902439024394
wb_47,2019-06-24 17:00:00+03:00,52.62547619047618
wb_47,2019-06-24 18:00:00+03:00,43.81875
wb_47,2019-06-24 19:00:00+03:00,43.17926829268293
wb_47,2019-06-24 20:00:00+03:00,41.8359090909091
wb_47,2019-06-24 21:00:00+03:00,50.96075
wb_47,2019-06-24 22:00:00+03:00,72.62256410256411
wb_47,2019-06-24 23:00:00+03:00,128.30348837209306
wb_47,2019-06-25 00:00:00+03:00,110.09428571428568
wb_47,2019-06-25 01:00:00+03:00,92.62749999999998
wb_47,2019-06-25 02:00:00+03:00,51.03756097560976
wb_47,2019-06-25 03:00:00+03:00,45.68340909090909
wb_47,2019-06-25 04:00:00+03:00,46.64727272727273
wb_47,2019-06-25 05:00:00+03:00,36.73372093023255
wb_47,2019-06-25 06:00:00+03:00,13.368888888888891
wb_47,2019-06-25 07:00:00+03:00,24.741363636363644
wb_47,2019-06-25 08:00:00+03:00,39.643181818181816
wb_47,2019-06-25 09:00:00+03:00,55.67023255813953
wb_47,2019-06-25 10:00:00+03:00,62.03292682926828
wb_47,2019-06-25 11:00:00+03:00,47.76238095238096
wb_47,2019-06-25 12:00:00+03:00,35.649777777777764
wb_47,2019-06-25 13:00:00+03:00,31.478095238095232
wb_47,2019-06-25 14:00:00+03:00,33.15068181818182
wb_47,2019-06-25 15:00:00+03:00,58.703513513513506
wb_47,2019-06-25 16:00:00+03:00,41.93454545454544
wb_47,2019-06-25 17:00:00+03:00,39.191363636363626
wb_47,2019-06-25 18:00:00+03:00,38.106666666666655
wb_47,2019-06-25 19:00:00+03:00,38.86595238095237
wb_47,2019-06-25 20:00:00+03:00,48.742
wb_47,2019-06-25 21:00:00+03:00,50.36833333333334
wb_47,2019-06-25 22:00:00+03:00,73.45697674418604
wb_47,2019-06-25 23:00:00+03:00,84.56829268292682
wb_47,2019-06-26 00:00:00+03:00,102.88681818181819
wb_47,2019-06-26 01:00:00+03:00,96.04674418604654
wb_47,2019-06-26 02:00:00+03:00,94.93261904761906
wb_47,2019-06-26 03:00:00+03:00,106.34404761904764
wb_47,2019-06-26 04:00:00+03:00,143.03909090909087
wb_47,2019-06-26 05:00:00+03:00,120.78840909090913
wb_47,2019-06-26 06:00:00+03:00,79.88372093023254
wb_47,2019-06-26 07:00:00+03:00,73.12697674418604
wb_47,2019-06-26 08:00:00+03:00,61.21209302325581
wb_47,2019-06-26 09:00:00+03:00,59.16295454545457
wb_47,2019-06-26 10:00:00+03:00,54.89558139534884
wb_47,2019-06-26 11:00:00+03:00,42.68340909090909
wb_47,2019-06-26 12:00:00+03:00,26.919523809523813
wb_47,2019-06-26 13:00:00+03:00,26.798837209302334
wb_47,2019-06-26 14:00:00+03:00,30.38404761904761
wb_47,2019-06-26 15:00:00+03:00,35.011818181818185
wb_47,2019-06-26 16:00:00+03:00,50.00000000000001
wb_47,2019-06-26 17:00:00+03:00,53.25972972972971
wb_47,2019-06-26 18:00:00+03:00,48.058048780487816
wb_47,2019-06-26 19:00:00+03:00,43.86113636363636
wb_47,2019-06-26 20:00:00+03:00,45.87119047619048
wb_47,2019-06-26 21:00:00+03:00,42.24948717948718
wb_47,2019-06-26 22:00:00+03:00,41.91642857142857
wb_47,2019-06-26 23:00:00+03:00,48.705454545454536
wb_47,2019-06-27 00:00:00+03:00,88.49951219512197
